Train Accuracy,Train Loss,Test Accuracy,Personalized Accuracy,Global Accuracy
0.5102666666666666,1.3654322623093922,0.12375,0.13736666666666666,0.1206
0.5221499999999999,1.3047564142445724,0.12614999999999998,0.1343666666666667,0.1308
0.5280166666666667,1.2656694407800833,0.12751666666666667,0.13935,0.1402
0.5361,1.2167931355098884,0.12966666666666668,0.14285,0.1523
0.5444833333333333,1.1652890264113742,0.13168333333333332,0.14220000000000002,0.167
0.5528,1.1279948130925497,0.13385,0.13715,0.1808
0.5607166666666666,1.0796312940637272,0.1359,0.14516666666666667,0.1989
0.5671166666666666,1.0444693578700226,0.13711666666666666,0.14373333333333332,0.2159
0.5753,0.9999378797163566,0.13946666666666668,0.14535,0.2374
0.5817166666666668,0.9683163358529409,0.14116666666666666,0.14738333333333334,0.2732
0.5896,0.9360955997387568,0.14318333333333333,0.14791666666666667,0.3123
0.59905,0.8943008845021327,0.14498333333333333,0.14681666666666668,0.3529
0.6054833333333334,0.8550635547031958,0.14718333333333333,0.15140000000000003,0.4
0.6118166666666667,0.8233262812773386,0.14876666666666666,0.15266666666666667,0.4501
0.6192166666666666,0.7894237263828516,0.15088333333333334,0.15023333333333333,0.5066
0.6257666666666667,0.7580551626135905,0.15223333333333336,0.15146666666666667,0.5578
0.63485,0.7241702343205612,0.15421666666666667,0.15264999999999998,0.611
0.6407166666666666,0.6953072809825341,0.15558333333333335,0.15566666666666665,0.6599
0.6484166666666666,0.6641054579933484,0.15745,0.15575,0.7011
0.6536499999999998,0.6360940352976323,0.15883333333333333,0.15851666666666667,0.7329
0.6596833333333334,0.6099760836948951,0.16010000000000002,0.15918333333333332,0.7608
0.6650666666666667,0.5882131716301043,0.16171666666666668,0.16054999999999997,0.7817
0.6710333333333333,0.5627586072474718,0.16318333333333335,0.16221666666666668,0.7988
0.6771833333333332,0.5388973078290621,0.1647833333333333,0.1625,0.8094
0.6816666666666666,0.5175282221655051,0.16599999999999998,0.16383333333333333,0.8152
