Train Accuracy,Train Loss,Test Accuracy,Personalized Accuracy,Global Accuracy
0.24801666666666666,4.186322865517934,0.060366666666666666,0.1491333333333333,0.1165
0.25095,4.118241015895208,0.061316666666666665,0.14883333333333335,0.1198
0.2596666666666667,3.978003849653403,0.06343333333333333,0.149,0.1251
0.2683,3.8145481408834456,0.06608333333333333,0.15181666666666666,0.1303
0.27563333333333334,3.687097018361092,0.0679,0.1504,0.135
0.2860666666666667,3.5281435853560765,0.07036666666666666,0.14703333333333332,0.1405
0.29395000000000004,3.39725464771986,0.07233333333333333,0.14943333333333333,0.1471
0.3063,3.2534969821373627,0.07511666666666668,0.15023333333333336,0.1537
0.31348333333333334,3.1220788439551987,0.07715000000000001,0.15475,0.1616
0.3277166666666667,2.9575675412336992,0.08075,0.15133333333333332,0.1689
0.3404833333333333,2.8161861999869346,0.08336666666666667,0.153,0.1768
0.3533833333333333,2.6741875907500585,0.08629999999999999,0.1536833333333333,0.1853
0.36648333333333327,2.5461662222544352,0.08996666666666665,0.15005,0.1945
0.3808833333333333,2.3800563277562463,0.0938,0.15433333333333335,0.2048
0.39605,2.2437398288647334,0.09773333333333334,0.15311666666666665,0.2158
0.40885,2.1227316319147747,0.10121666666666666,0.1532,0.2285
0.42475,1.9821073028385638,0.10553333333333334,0.15733333333333335,0.2421
0.4388,1.8712444486220676,0.1086,0.15521666666666667,0.2609
0.45383333333333337,1.7511915546357635,0.11186666666666667,0.15711666666666665,0.2823
0.47021666666666667,1.6237146143178145,0.11606666666666667,0.15746666666666664,0.3088
0.48458333333333337,1.5188819047927857,0.11969999999999999,0.15761666666666668,0.3345
0.5025833333333333,1.3951119468251862,0.12386666666666667,0.15873333333333334,0.3636
0.5181333333333333,1.2982803287982942,0.12831666666666666,0.16093333333333332,0.3971
0.5325166666666667,1.207852135670185,0.13198333333333334,0.1592,0.435
0.5498,1.1154434434274834,0.13553333333333334,0.16138333333333332,0.4726
0.5663333333333334,1.0240926896631717,0.1398,0.16068333333333332,0.5111
0.5819333333333333,0.9456839474320411,0.1433,0.16033333333333333,0.5513
0.5954833333333333,0.8712196704487006,0.14683333333333332,0.16268333333333332,0.5929
0.6096,0.8061105455348888,0.1503,0.16599999999999998,0.6329
0.6236166666666667,0.7427027776678404,0.15331666666666666,0.16416666666666668,0.6732
0.6363000000000001,0.6901487064490714,0.15623333333333334,0.16415000000000002,0.7075
0.6469333333333332,0.6418375624477863,0.15881666666666666,0.16493333333333335,0.7407
0.6566833333333334,0.5984481996893883,0.1612333333333333,0.16614999999999996,0.7686
0.6667000000000001,0.5603073898772399,0.1631,0.16815000000000002,0.7933
0.6757666666666667,0.5274208342462778,0.16514999999999996,0.1686,0.8101
0.6839333333333335,0.4984187609210611,0.1663666666666667,0.16935,0.8264
0.6893999999999999,0.4742363534445564,0.1680666666666667,0.16935,0.839
0.6942833333333334,0.4542840589975317,0.1693333333333333,0.17011666666666667,0.8452
0.6987333333333333,0.43697903349250555,0.1703166666666667,0.17134999999999997,0.8476
0.7018333333333333,0.4245529135624568,0.17133333333333337,0.17268333333333336,0.851
0.7045333333333333,0.4136250374391675,0.17235,0.17231666666666665,0.8526
0.70675,0.40631897125542166,0.17293333333333336,0.17395,0.8523
0.7076166666666667,0.4028415624847015,0.1735666666666667,0.17383333333333334,0.8517
0.7091999999999999,0.39944504730304087,0.17398333333333332,0.17488333333333334,0.8484
0.70985,0.39823750657091533,0.17426666666666668,0.17575,0.8427
0.7088166666666668,0.40300677860279877,0.17421666666666666,0.17739999999999997,0.8362
0.70925,0.4032998912349343,0.17448333333333332,0.17683333333333337,0.8311
0.70785,0.4099965661207835,0.17431666666666665,0.17834999999999998,0.8239
0.7074999999999999,0.41486252653747796,0.17443333333333333,0.17846666666666663,0.816
0.7055833333333332,0.4250724818309148,0.17421666666666666,0.1781333333333333,0.8093
