Train Accuracy,Train Loss,Local Accuracy,Global Accuracy,Loss Standard Deviation,Personal Accuracy
0.1371,10.001261779801052,0.1388,0.1143,0.12379857910561298,0.77072
0.13943333333333333,9.945854297812781,0.1415,0.1162,0.1508542696822438,0.7825900000000001
0.14018333333333333,9.901612327273687,0.14206,0.1175,0.060913741913075165,0.79189
0.14206666666666667,9.750000690205892,0.14478,0.1184,0.07332376491602503,0.7955900000000001
0.14418333333333333,9.642617470677694,0.14648,0.1209,0.15784691340802395,0.77391
0.14613333333333334,9.544037651824953,0.14797,0.1227,0.10368480985051466,0.79397
0.14795,9.43431823700269,0.15044000000000002,0.1251,0.20368951065223878,0.78769
0.1499833333333333,9.280293764209746,0.15258,0.1275,0.0857934425042765,0.8040700000000001
0.15165,9.169876813713708,0.15443,0.1294,0.08092547813318753,0.7993600000000001
0.15371666666666667,9.059084097830453,0.1564,0.1309,0.15763580799088134,0.7899200000000001
0.15618333333333334,8.915522279914219,0.15927000000000002,0.1326,0.05677037820042874,0.8051900000000001
0.15841666666666668,8.782216993268332,0.16153999999999996,0.1346,0.06370614228749429,0.8050900000000001
0.15996666666666667,8.66612506070137,0.16378,0.1371,0.07361314376980897,0.8027899999999999
0.16273333333333334,8.533160474205017,0.16684,0.1387,0.05380139976795296,0.81069
0.16595,8.407472233581544,0.16971999999999998,0.141,0.14465130348115526,0.7973600000000001
0.16801666666666668,8.278787990061442,0.17214,0.1435,0.1318728559875067,0.7992300000000001
0.1701,8.160218838357924,0.17453,0.1457,0.08974663285624684,0.80709
0.17331666666666667,8.040429138620695,0.17744000000000001,0.1485,0.12373508387984943,0.80311
0.17495,7.915202243375779,0.17947,0.1512,0.10995053082380071,0.7992699999999999
0.17746666666666666,7.797413958843549,0.18241000000000002,0.1538,0.12231672602040532,0.79955
0.18018333333333333,7.663063495270411,0.18528,0.1563,0.09218574202570871,0.8033100000000001
0.18279999999999996,7.548484922941526,0.18813000000000002,0.158,0.052991586077934895,0.8044100000000001
0.1855333333333333,7.415774897384644,0.19021000000000002,0.161,0.12221608025088469,0.7862499999999999
0.1885166666666667,7.301060111236572,0.19334,0.1643,0.07761866628703903,0.8074899999999999
0.19104999999999997,7.174256728784243,0.19556,0.1669,0.05226615028557498,0.80948
0.19401666666666664,7.059056608009338,0.19837,0.1702,0.05053770702257713,0.80668
0.19726666666666667,6.934858378521602,0.20134,0.173,0.05668336182202192,0.8169099999999999
0.20111666666666664,6.815811597379049,0.20474000000000003,0.1755,0.14178289713472006,0.8064699999999999
0.20405,6.709323822140693,0.20764,0.1781,0.07674737839291278,0.8160999999999999
0.2075333333333333,6.568953099457422,0.21094000000000002,0.1815,0.06521865019763785,0.81432
0.21118333333333333,6.453979045287769,0.21455,0.184,0.1995314038961021,0.8126400000000001
0.21456666666666666,6.335972995464007,0.21749999999999997,0.1866,0.12963171907263243,0.8044800000000001
0.21753333333333336,6.230309596904118,0.22074,0.1897,0.14946933249928193,0.7994600000000001
0.22158333333333335,6.111153539800644,0.22464,0.1929,0.048939482644045934,0.8155600000000001
0.22478333333333333,5.991183575471243,0.22837000000000002,0.1957,0.08822457569823487,0.80505
0.22871666666666665,5.879624272584915,0.23159,0.1988,0.09513612061548964,0.80534
0.23215000000000002,5.765552097368242,0.23551,0.2022,0.16904516819311347,0.79796
0.23638333333333333,5.655588650774956,0.23885,0.2052,0.06540810751631315,0.8161499999999999
0.2404,5.54672226925691,0.24327,0.2084,0.09015510886361894,0.81057
0.24561666666666668,5.423920886206626,0.24763000000000002,0.2125,0.08632337799180032,0.81304
0.2498166666666667,5.321692279338837,0.25164,0.216,0.06126442057110088,0.8204699999999999
0.2541333333333333,5.219215539169311,0.25593,0.2197,0.8715152133764774,0.77834
0.2590333333333333,5.11715074271361,0.26121,0.2234,0.05382767707399795,0.8230800000000001
0.26305,5.013701679388682,0.26606,0.2277,0.08174204751740213,0.8217599999999998
0.2692333333333333,4.90355909315745,0.27202,0.2309,0.052024154762749956,0.81896
0.2747833333333333,4.793451156330109,0.27657,0.2349,1.0567322522784397,0.79342
0.27935,4.695439206973711,0.28191,0.2386,0.08591103334682157,0.8108300000000002
0.28426666666666667,4.596956879138946,0.288,0.2432,0.062446132822690535,0.8238099999999999
0.2905333333333333,4.492107144451142,0.29481999999999997,0.2492,0.08282989565340511,0.8210500000000001
0.2973166666666667,4.386107567008336,0.30213000000000007,0.254,0.03431053118058312,0.82328
0.30146666666666666,4.301882627995809,0.30649000000000004,0.259,0.06611243968894831,0.8209399999999999
0.30795,4.203658492430051,0.31317000000000006,0.265,0.04926489326078514,0.8262200000000002
0.31415000000000004,4.104400265725454,0.31954,0.2707,0.10606351161557076,0.82406
0.32006666666666667,4.01466032712857,0.32582,0.2759,0.09159404992624486,0.8205900000000002
0.32781666666666665,3.918019794468085,0.3337900000000001,0.2805,0.07040722595368581,0.82746
0.33448333333333335,3.826162283448378,0.34007,0.2863,0.21361816508067932,0.80614
0.34113333333333334,3.736882519650459,0.34819,0.2946,0.040567029913559975,0.8286
0.3487166666666667,3.6343863571206727,0.35639,0.3023,0.06683834529709927,0.8221600000000001
0.35496666666666665,3.5525641014178593,0.36352,0.3092,0.024742770129957153,0.83584
0.3618166666666667,3.4699266959865893,0.37062,0.3165,0.05608718285519796,0.82898
