Train Accuracy,Train Loss,Test Accuracy,Personalized Accuracy,Global Accuracy
0.17463333333333336,6.160142292658488,0.04176666666666666,0.15339999999999998,0.4948
0.514,1.3212349840064845,0.12714999999999999,0.16340000000000002,0.7672
0.6510166666666668,0.6300137221823137,0.1595,0.16863333333333336,0.8412
0.6913333333333332,0.4606910434211294,0.16926666666666665,0.17290000000000003,0.8686
0.7097500000000001,0.3838903066337109,0.17384999999999998,0.17509999999999998,0.8838
0.7196500000000001,0.33994948974450423,0.17631666666666668,0.17678333333333335,0.8941
0.7265166666666666,0.30774177799671887,0.17841666666666667,0.17876666666666666,0.8998
0.73245,0.28390261580795045,0.17983333333333332,0.17901666666666669,0.9056
0.7365000000000002,0.26340073562885324,0.18081666666666665,0.18023333333333333,0.9106
0.7406166666666667,0.2469735889442265,0.18176666666666666,0.18068333333333333,0.9137
