Train Accuracy,Train Loss,Test Accuracy,Personalized Accuracy,Global Accuracy
0.1523,7.143306954979896,0.0382,0.14780000000000001,0.3741
0.4180166666666666,2.0788528099894523,0.10243333333333332,0.15801666666666667,0.6731
0.5903333333333334,0.9161069269855817,0.14368333333333333,0.1647,0.7937
0.6559,0.6124453313946724,0.1607,0.16871666666666665,0.8383
0.6842499999999999,0.49325171934366224,0.16756666666666664,0.17183333333333334,0.8635
0.7008833333333333,0.4234129745905598,0.17190000000000003,0.17405,0.8764
0.7107833333333332,0.3813633812551698,0.17456666666666665,0.17491666666666666,0.8847
0.71825,0.3505474164202809,0.17625,0.17641666666666667,0.8923
0.7240833333333333,0.3231720440184077,0.1781,0.17756666666666668,0.8969
0.7285999999999999,0.303996672992905,0.17911666666666667,0.17880000000000001,0.9016
0.7324333333333333,0.28693421814888714,0.17961666666666665,0.17943333333333333,0.9045
0.7355333333333334,0.2720062708949049,0.18048333333333336,0.18026666666666666,0.9082
0.7386166666666666,0.2594340221380194,0.18105000000000002,0.18061666666666665,0.9098
0.7408,0.2489470274967452,0.1816833333333333,0.18133333333333335,0.9141
0.7433333333333334,0.2387281453564763,0.1821833333333333,0.18193333333333334,0.9166
0.74505,0.22993605030303202,0.18251666666666666,0.18221666666666664,0.919
0.7469666666666668,0.22127763422578572,0.1831,0.18255,0.9212
0.74865,0.21416557712232076,0.18341666666666667,0.1821833333333333,0.924
0.7501499999999999,0.2072679047172268,0.18386666666666668,0.18353333333333333,0.925
0.7513333333333334,0.20206999245236318,0.18428333333333333,0.18371666666666667,0.9261
