Train Accuracy,Train Loss,Test Accuracy,Personalized Accuracy,Global Accuracy
0.08843333333333334,12.005445103120804,0.021583333333333336,0.11649999999999999,0.1145
0.09088333333333333,11.765742973184587,0.022066666666666672,0.13948333333333335,0.1164
0.09358333333333334,11.517430543740591,0.022533333333333336,0.14973333333333333,0.1187
0.09625000000000002,11.26252334787051,0.023166666666666665,0.15428333333333333,0.1218
0.09914999999999999,11.011349927695592,0.023883333333333336,0.15985,0.1252
0.10186666666666666,10.763954710658393,0.02455,0.16174999999999998,0.1295
0.10465000000000002,10.51329505534172,0.025166666666666667,0.16448333333333334,0.1323
0.10769999999999999,10.263082170581818,0.02608333333333333,0.16653333333333334,0.136
0.11118333333333333,10.02269354592959,0.026866666666666664,0.16783333333333333,0.1389
0.11426666666666668,9.786648397254945,0.027533333333333333,0.16791666666666666,0.1426
0.11698333333333333,9.551344143501916,0.028399999999999998,0.16823333333333335,0.1472
0.12030000000000002,9.320913458077113,0.028999999999999998,0.16905,0.151
0.12336666666666667,9.093845903635025,0.029750000000000002,0.17021666666666668,0.156
0.12653333333333333,8.870209226322174,0.030516666666666668,0.1713166666666667,0.1595
0.12963333333333335,8.653034123659134,0.031166666666666665,0.17134999999999997,0.1638
0.13296666666666665,8.442024640862147,0.0321,0.17294999999999996,0.1696
0.1366,8.233921631844838,0.032883333333333334,0.17191666666666666,0.1745
0.14005,8.030793219248453,0.03376666666666667,0.1724,0.1783
0.14348333333333332,7.831175094278654,0.03451666666666666,0.17323333333333332,0.1822
0.14693333333333336,7.632987498164177,0.03546666666666667,0.17340000000000003,0.1877
0.15085,7.443496286567052,0.03615,0.17295,0.1916
0.15473333333333333,7.257902175307274,0.037116666666666666,0.17389999999999997,0.1964
0.15843333333333331,7.074214926028251,0.03818333333333334,0.17433333333333334,0.2008
0.1622,6.895406928698223,0.039183333333333334,0.17433333333333334,0.2053
0.16636666666666666,6.721182743692398,0.04016666666666668,0.1740833333333333,0.2094
0.17048333333333332,6.548861518247922,0.04103333333333333,0.17463333333333333,0.2141
0.1743833333333333,6.385190397795041,0.04203333333333333,0.17458333333333334,0.2186
0.1786333333333333,6.2235397178332015,0.0432,0.17468333333333336,0.2252
0.1830166666666667,6.06581612979571,0.044250000000000005,0.17511666666666667,0.2305
0.18771666666666667,5.913599577124914,0.04554999999999999,0.17565,0.2349
0.19223333333333334,5.764472037434579,0.04666666666666667,0.17536666666666664,0.2401
0.19738333333333333,5.615492451779047,0.04766666666666666,0.17626666666666668,0.2463
0.20278333333333332,5.47047746377786,0.04906666666666667,0.17650000000000002,0.2527
0.20756666666666668,5.3330411866903304,0.05040000000000001,0.17658333333333334,0.2602
0.21300000000000002,5.194013828110695,0.05151666666666666,0.17603333333333335,0.2663
0.21826666666666666,5.0606514781316125,0.05275,0.17626666666666665,0.2725
0.2231,4.9313038174867625,0.05441666666666666,0.17569999999999997,0.2805
0.22825,4.804952731060982,0.05579999999999999,0.1756666666666667,0.288
0.23425,4.679118091813724,0.057516666666666674,0.17585,0.2964
0.24013333333333337,4.56073769522508,0.05945,0.17658333333333337,0.3053
0.24548333333333333,4.442387907552719,0.061116666666666666,0.17655,0.3119
0.25120000000000003,4.327974717926979,0.06278333333333333,0.17745,0.3189
0.25701666666666667,4.215470129100481,0.06416666666666666,0.17698333333333333,0.327
0.2628,4.10915251762867,0.0655,0.17693333333333333,0.3355
0.26868333333333333,4.003588058948517,0.06693333333333333,0.17659999999999998,0.3432
0.27455,3.8988520602424943,0.06855,0.17716666666666667,0.351
0.28035000000000004,3.7998719062447552,0.06995,0.17751666666666668,0.3597
0.28681666666666666,3.700811652012666,0.07163333333333333,0.17736666666666667,0.3692
0.2929333333333334,3.6064104635159175,0.07291666666666667,0.17701666666666668,0.3776
0.2984,3.516122437226772,0.07428333333333334,0.17736666666666667,0.3856
0.3045166666666667,3.4277568103273715,0.07591666666666667,0.17723333333333333,0.3924
0.3107,3.3398247249444326,0.07751666666666666,0.17766666666666667,0.3994
0.3169833333333333,3.2553174908558526,0.07915,0.17733333333333332,0.4065
0.3230333333333333,3.172087184627851,0.08101666666666668,0.17793333333333336,0.4137
0.32893333333333336,3.092480772078037,0.08263333333333334,0.1775,0.4213
0.33456666666666673,3.0152436883568763,0.08436666666666666,0.1775,0.4287
0.3411666666666667,2.9394496807575226,0.08590000000000002,0.17786666666666667,0.4361
0.3474500000000001,2.8661346214493117,0.08741666666666667,0.1772166666666667,0.4442
0.35336666666666666,2.796010246888797,0.08863333333333334,0.17806666666666668,0.4514
0.35964999999999997,2.7278115832010905,0.09,0.17758333333333332,0.4611
0.36593333333333333,2.65995573789676,0.09166666666666667,0.17791666666666667,0.47
0.37185,2.5941022233764333,0.09325,0.17775,0.4794
0.37753333333333333,2.5306430775205295,0.09508333333333334,0.17798333333333333,0.4861
0.38358333333333333,2.469886936966578,0.09635,0.17759999999999998,0.4937
0.38981666666666664,2.409609614257018,0.09795,0.17825000000000002,0.5015
0.39581666666666665,2.351525611543656,0.0994,0.17825,0.5089
0.40131666666666665,2.2957972082972526,0.10076666666666667,0.1784666666666667,0.5174
0.4066333333333333,2.2418662398219107,0.10218333333333335,0.17805,0.5233
0.41286666666666666,2.1883511043667796,0.10373333333333334,0.17843333333333333,0.5295
0.4182166666666666,2.136629776306947,0.10523333333333333,0.17839999999999998,0.5354
0.42448333333333327,2.0869011943777402,0.10646666666666667,0.17853333333333332,0.5414
0.4298,2.039013506090641,0.10779999999999999,0.17810000000000004,0.5477
0.4352666666666667,1.9920786776900292,0.10958333333333334,0.17845000000000003,0.554
0.4401333333333333,1.9461278519749643,0.11096666666666664,0.17814999999999998,0.5615
0.4452333333333333,1.9022338937401773,0.11196666666666666,0.17861666666666665,0.5677
0.4508166666666667,1.859406696653366,0.11338333333333334,0.17833333333333332,0.5724
0.45583333333333337,1.817873767775297,0.11455,0.17873333333333333,0.5783
0.46044999999999997,1.7780941154797871,0.11573333333333333,0.17886666666666667,0.5835
0.4648,1.739581037803491,0.11699999999999999,0.17858333333333332,0.5896
0.46939999999999993,1.7017587092737354,0.11838333333333334,0.17855,0.5961
0.47454999999999997,1.6645422862927117,0.11993333333333334,0.17881666666666665,0.601
0.47958333333333336,1.6276241997718808,0.12108333333333333,0.17873333333333333,0.607
0.48473333333333335,1.593556350127856,0.12236666666666667,0.17853333333333338,0.6134
0.48960000000000004,1.559151115089655,0.1235,0.17893333333333333,0.6192
0.4945666666666667,1.5261852539777756,0.12460000000000002,0.17868333333333333,0.626
0.49921666666666664,1.493960251470407,0.12575,0.17866666666666667,0.6316
0.5032500000000001,1.463704492666324,0.12676666666666667,0.17878333333333335,0.6371
0.5075166666666666,1.4337025624612967,0.12793333333333334,0.17905000000000001,0.6434
0.5114333333333333,1.4044313377519448,0.12916666666666665,0.17873333333333336,0.6488
0.51535,1.3758864383975666,0.13031666666666666,0.17873333333333336,0.6539
0.5195333333333333,1.3489623795231183,0.13135,0.17901666666666666,0.6596
0.52345,1.322156483564774,0.13235000000000002,0.179,0.6655
0.5279666666666667,1.296941413549582,0.13311666666666666,0.1792166666666667,0.6713
0.5314833333333333,1.2713995340049267,0.134,0.17903333333333332,0.676
0.53535,1.247489392954111,0.13503333333333334,0.17873333333333336,0.6801
0.5393,1.223994300887982,0.13605,0.1786666666666667,0.6847
0.5432166666666666,1.2008871292253336,0.13703333333333334,0.17926666666666666,0.6886
0.54695,1.1781915078322092,0.13808333333333334,0.1792166666666667,0.6932
0.5505333333333333,1.1564137040476004,0.13881666666666667,0.17941666666666667,0.6978
0.55375,1.1354917802810667,0.13961666666666667,0.1788833333333333,0.7024
0.5574,1.1143844924032689,0.1405,0.17906666666666668,0.7073
0.5608166666666666,1.0944489378809927,0.14146666666666666,0.17878333333333335,0.7114
0.5643499999999999,1.0755168425043424,0.1422,0.17899999999999996,0.7159
0.5676666666666667,1.0570316753029823,0.14309999999999998,0.17915,0.7195
0.5704333333333333,1.038308176656564,0.14383333333333334,0.17923333333333333,0.7244
0.5735,1.0208285841435194,0.1446,0.17935,0.7274
