Train Accuracy,Train Loss,Test Accuracy,Personalized Accuracy,Global Accuracy
0.5771333333333333,1.0110746106098094,0.1389,0.13911666666666667,0.1126
0.5806166666666666,0.9995026651680469,0.13916666666666666,0.13818333333333332,0.1126
0.5780166666666667,1.0059009793698788,0.13876666666666668,0.1372,0.1126
0.5791166666666667,1.0107550435165564,0.13873333333333332,0.13928333333333334,0.1126
0.5800833333333334,1.0116131898075342,0.13846666666666668,0.1391,0.1127
0.58055,1.0081758525600035,0.13974999999999999,0.13886666666666667,0.1127
0.5822333333333333,0.9970807598561048,0.13870000000000002,0.13758333333333334,0.1127
0.5793999999999999,1.0130793099840483,0.1391,0.13793333333333335,0.1127
0.5771666666666668,1.0182015995333593,0.13818333333333332,0.13556666666666667,0.1128
0.5814166666666667,0.9937243033816416,0.13921666666666666,0.13859999999999997,0.1128
0.5790333333333333,1.003752899622917,0.1388166666666667,0.13676666666666665,0.1129
0.5763333333333334,1.0315976733555396,0.13745000000000002,0.13596666666666668,0.1129
0.5788833333333333,1.0096364835878213,0.13853333333333334,0.13943333333333333,0.1129
0.5829166666666667,0.979790891664227,0.13983333333333337,0.13833333333333334,0.1129
0.5796333333333333,1.0027315037677684,0.13945000000000002,0.13895,0.1129
0.5819666666666666,0.9962665339718262,0.14025,0.13938333333333333,0.1129
0.5789166666666666,0.9984516403098902,0.139,0.1364,0.1129
0.5797833333333333,0.9987612746914228,0.13920000000000002,0.13874999999999998,0.1129
0.5790666666666667,1.0043126048008602,0.13923333333333332,0.13935,0.1129
0.5789833333333334,1.004934161688884,0.13853333333333334,0.13908333333333334,0.1129
