Train Accuracy,Train Loss,Local Accuracy,Global Accuracy,Loss Standard Deviation,Personal Accuracy
0.12490000000000001,11.1989573981603,0.12916999999999998,0.1676,1.5248299162124774,0.12916999999999998
0.19354999999999997,8.045126265597343,0.19399,0.2555,2.804492180685538,0.16818
0.27343333333333336,5.825946049857139,0.27625000000000005,0.2569,3.107717380763138,0.21022000000000002
0.26548333333333335,2.1695988907376926,0.27551,0.311,4.211743024295493,0.24855999999999998
0.30065,2.2945904712120693,0.31311,0.2453,4.472400070176773,0.28464
0.2348,2.302277094737689,0.24561999999999998,0.1688,4.041155825794998,0.29804
0.1653,2.3025765694340072,0.1662,0.1009,1.07584573196462,0.31145
0.10391666666666667,2.302584552693367,0.10520000000000002,0.1009,0.09726593948081472,0.31954
0.10005,2.302584247962634,0.10082,0.1113,0.057591782689385425,0.33149
0.10771666666666666,2.302582470242182,0.10841,0.1009,0.06640133800642085,0.33013
0.09995000000000001,2.3025828277786577,0.10113,0.1009,0.0696969499782494,0.31321
0.10018333333333335,2.3025861187616985,0.10032,0.1009,0.04479610366093926,0.29933000000000004
0.09986666666666667,2.3025849909941356,0.10113,0.1135,0.01769955826136523,0.28152
0.11236666666666667,2.302584678542614,0.1135,0.1135,0.018244290244361045,0.27004
0.11236666666666667,2.302584738449256,0.1135,0.1135,0.006327180887202844,0.24153
0.11236666666666667,2.302585041864713,0.1135,0.1135,0.006525993956933125,0.23703
0.11236666666666667,2.3025842653870585,0.1135,0.1135,0.006540511212792044,0.22116
0.11236666666666667,2.3025834089835486,0.1135,0.1135,0.0019584077713519473,0.20569
0.11236666666666667,2.3025838013807935,0.1135,0.1135,0.0019603834453326167,0.19498
0.11236666666666667,2.302582273614407,0.1135,0.1135,0.0019810422539591503,0.193
0.11236666666666667,2.3025826091885566,0.1135,0.1135,0.001981883359138749,0.18988
0.11236666666666667,2.302582660138607,0.1135,0.1135,0.001990937023617264,0.18339999999999998
0.11236666666666667,2.302583011786143,0.1135,0.1135,0.0017695027357211535,0.17389
0.11236666666666667,2.3025834634939826,0.1135,0.1135,0.0017724979544983055,0.16799999999999998
0.11236666666666667,2.302583703772227,0.1135,0.0892,0.001780953460596054,0.16612999999999997
0.09728333333333333,2.3025829566081364,0.09649,0.1135,0.00016735690901035783,0.15856
0.11236666666666667,2.302583225774765,0.1135,0.1135,1.757080227037223e-05,0.15501
0.11236666666666667,2.3025832588553428,0.1135,0.1135,1.704577795561563e-05,0.15365
0.11236666666666667,2.3025832011063896,0.1135,0.1135,1.7148644753194305e-05,0.14498
0.11236666666666667,2.302583971031507,0.1135,0.1135,1.7548336267883915e-05,0.13396
0.11236666666666667,2.3025833103934925,0.1135,0.1135,1.7761208040183935e-05,0.12859
0.11236666666666667,2.3025833494067194,0.1135,0.1135,1.7654312202704604e-05,0.12956
0.11236666666666667,2.302582478090127,0.1135,0.1135,4.494427363566657e-06,0.12451
0.11236666666666667,2.302583511288961,0.1135,0.1135,4.473700855745933e-06,0.11419
0.11236666666666667,2.302583972163995,0.1135,0.1135,2.6793199450478927e-06,0.10656
0.11236666666666667,2.3025833388765653,0.1135,0.1135,2.5073655748624623e-06,0.10708000000000001
0.11236666666666667,2.3025839239319166,0.1135,0.1135,2.4565213913710134e-06,0.10708000000000001
0.11236666666666667,2.3025837677001957,0.1135,0.1135,2.0899397850810173e-06,0.10708000000000001
0.11236666666666667,2.3025829762061436,0.1135,0.1135,1.7745775285652538e-06,0.10811000000000001
0.11236666666666667,2.3025830099026363,0.1135,0.1135,1.978155947941927e-06,0.10811000000000001
0.11236666666666667,2.302582840649287,0.1135,0.1135,1.9398542029197685e-06,0.10811000000000001
0.11236666666666667,2.302582968517145,0.1135,0.1135,1.7919499801744036e-06,0.10811000000000001
0.11236666666666667,2.3025842199405036,0.1135,0.1135,1.5590460514327827e-06,0.10937000000000001
0.11236666666666667,2.302583067715168,0.1135,0.1135,1.2636184692382812e-06,0.10937000000000001
0.11236666666666667,2.3025836250543597,0.1135,0.1135,9.681673290370442e-07,0.11195000000000001
0.11236666666666667,2.3025832472006478,0.1135,0.1135,9.830249847454215e-07,0.11195000000000001
0.11236666666666667,2.302583624307315,0.1135,0.1135,7.056545537447329e-07,0.11195000000000001
0.11236666666666667,2.3025834217945733,0.1135,0.0958,9.50390406989801e-07,0.11195000000000001
0.1018,2.3025833027799925,0.10004000000000002,0.1135,1.1670339823265473e-06,0.11195000000000001
0.11236666666666667,2.3025837178389232,0.1135,0.1135,1.2982324018537504e-06,0.1135
0.11236666666666667,2.302583097835382,0.1135,0.1135,1.2344926324843997e-06,0.1135
0.11236666666666667,2.302583631547292,0.1135,0.1135,1.2159347534179689e-06,0.1135
0.11236666666666667,2.302584061137835,0.1135,0.0892,1.0058890871872418e-06,0.1135
0.09686666666666667,2.302583762216568,0.09546,0.1135,8.559857879169581e-07,0.1135
0.11236666666666667,2.3025830351432166,0.1135,0.1135,1.1789069476200215e-06,0.1135
0.11236666666666667,2.302582864065965,0.1135,0.1135,1.0821157186422556e-06,0.1135
0.11236666666666667,2.3025835766712826,0.1135,0.1135,9.66992368253386e-07,0.1135
0.11288333333333334,2.30258359717528,0.11243,0.1135,1.1134428433261508e-06,0.11243
