Train Accuracy,Train Loss,Local Accuracy,Global Accuracy,Loss Standard Deviation
0.8799666666666666,0.42437842674851417,0.8467799999999999,0.1141,0.22091031851302068
0.9084666666666666,0.30154828159709773,0.87215,0.1139,0.07118509597708715
0.8729666666666667,0.5384286059384545,0.8459099999999999,0.1141,0.6079104785238687
0.8907833333333331,0.39961854857355356,0.8561599999999999,0.1158,0.22377854345374074
0.8943500000000001,0.35180563127125297,0.8562199999999999,0.117,0.14990890132630746
0.8785,0.49060546720847487,0.8479099999999999,0.1184,0.49521625118414153
0.8866166666666667,0.38787415259107944,0.85398,0.1198,0.16778965327241724
0.9043166666666667,0.3144463316597045,0.86895,0.122,0.06873808184147669
0.9146,0.28259675257752337,0.87653,0.1233,0.0318499200086071
0.8706333333333334,0.7075005242685477,0.8358899999999999,0.1235,1.3616134151313573
0.9082500000000001,0.29751752288937566,0.8686400000000001,0.1254,0.07342934880392075
0.9078666666666667,0.30764271711682273,0.8695299999999999,0.1259,0.12553728113779886
0.9153333333333333,0.2785469496823847,0.8783299999999999,0.128,0.022199346895199194
0.8766499999999999,0.4876045655690134,0.84491,0.1302,0.42528058141505826
0.8811166666666667,0.41157293909490106,0.8452900000000001,0.1302,0.2554444481075403
0.8931999999999999,0.3432677028546731,0.85988,0.1317,0.05654985833241576
0.8981333333333335,0.3328338467528423,0.86301,0.1334,0.10150047638589363
0.8616,0.5595153665592273,0.82959,0.1356,0.5876976540914488
0.8673666666666666,0.5659739568273227,0.83409,0.1374,0.5303902834393032
0.9121499999999999,0.2912944276650747,0.87529,0.1391,0.0806597147810372
0.8703833333333334,0.567636091431727,0.84637,0.1392,0.6454685837327762
0.9043666666666667,0.3127115702902277,0.86976,0.1391,0.06325513006123527
0.9027999999999999,0.31395213996246457,0.8641099999999999,0.1402,0.09285766578520105
0.8743833333333334,0.42806499984910096,0.8382499999999999,0.142,0.19113254337170218
0.8888666666666667,0.4147124519924323,0.8495999999999999,0.1443,0.365295332619733
