Train Accuracy,Train Loss,Local Accuracy,Global Accuracy,Loss Standard Deviation,Personal Accuracy
0.14871666666666666,9.244088556130727,0.15039,0.2033,0.11029501369223565,0.71275
0.2598833333333333,5.01102091650168,0.26269000000000003,0.3513,0.028955123043260655,0.7785799999999999
0.4298166666666667,2.753868596235911,0.43716,0.5313,0.07472877460791776,0.79585
0.58995,1.619949082624912,0.5975299999999999,0.6649,0.05011272887460247,0.80536
0.6966666666666668,1.0810519691487155,0.70921,0.7441,0.03940008315869863,0.8235899999999999
0.7618666666666667,0.8205306523164113,0.77067,0.7935,0.10245144834860893,0.83212
0.8065666666666667,0.6664807193527619,0.80909,0.8264,0.03684231264838611,0.85025
0.83385,0.572473601524035,0.83699,0.8472,0.028701652781252227,0.8526
0.85015,0.5127837126423915,0.8537899999999998,0.8602,0.03017764748021103,0.86193
0.8624666666666666,0.4706773196905851,0.8659600000000001,0.8706,0.02252197884105053,0.86943
0.87135,0.437775448653102,0.87371,0.8782,0.041050219097879044,0.8716100000000001
0.8797166666666666,0.41090619415839513,0.88112,0.8846,0.018017030925791176,0.87697
0.8860500000000001,0.3877655088762442,0.88666,0.8896,0.012237315360670685,0.88353
0.8907166666666667,0.3704208467538158,0.89088,0.8913,0.02985454377692592,0.88471
0.89535,0.354779207385083,0.89339,0.8955,0.034106363541273686,0.8833500000000001
0.8988166666666666,0.34089098057796563,0.8968600000000001,0.8985,0.030880664846138106,0.89058
0.9024666666666666,0.3285604421998064,0.8996900000000001,0.901,0.025192138055987127,0.88943
0.90555,0.31761465729276345,0.90227,0.9037,0.01643189551675954,0.89901
0.9086166666666666,0.3080930946469307,0.9050500000000001,0.9074,0.013115648244724118,0.89696
0.9115333333333332,0.29973161562234163,0.9075799999999999,0.9086,0.011715480616024952,0.90045
0.9133833333333332,0.29125478212734063,0.9093399999999999,0.911,0.014775032008682446,0.90255
0.9155833333333333,0.28361090901941066,0.91138,0.912,0.04480417291933346,0.90215
0.9180499999999999,0.2760579990178347,0.9126400000000001,0.9137,0.010700950900929965,0.9073200000000001
0.9194666666666668,0.2700498142018914,0.91474,0.9154,0.011522927000088565,0.90515
0.9211166666666667,0.26392105473180616,0.91656,0.9175,0.01994294910856228,0.90776
0.9231333333333334,0.2582675642758608,0.91812,0.9183,0.012508378688155988,0.91015
0.9244,0.25322784600009524,0.9190499999999999,0.9198,0.019540157087021514,0.90932
0.9260999999999999,0.24813694525336227,0.92008,0.92,0.015122866665933942,0.9124400000000001
