Train Accuracy,Train Loss,Local Accuracy,Global Accuracy,Loss Standard Deviation,Personal Accuracy
0.11011666666666665,12.01327077978452,0.11445999999999999,0.1147,0.1616598540847741,0.55579
0.11286666666666667,11.758897157287597,0.11644,0.1165,0.09426344127670888,0.67833
0.11588333333333334,11.501654346942901,0.11854,0.1185,0.037464818849090656,0.74497
0.11915,11.240141103967032,0.12163,0.1214,0.045817607726213246,0.77035
0.12266666666666667,10.978490646807352,0.12533,0.1253,0.04552849360530633,0.78078
0.12618333333333331,10.721839732122422,0.1294,0.1295,0.06024158077158276,0.7922000000000001
0.12981666666666666,10.455265525054932,0.13258999999999999,0.1327,0.04194639564261359,0.81132
0.13398333333333334,10.201976389137904,0.13635999999999998,0.1363,0.041101253560831406,0.82272
0.138,9.946193144257863,0.13989000000000001,0.1397,0.035162677727524454,0.8339700000000001
0.1417,9.69508649989764,0.14386000000000002,0.1438,0.01543942916984688,0.8431799999999998
0.14603333333333335,9.447205231555301,0.14792,0.1475,0.032634785143427616,0.8448
0.15018333333333334,9.2015213256677,0.15212,0.152,0.015814017728577472,0.85148
0.15403333333333333,8.958155062452953,0.15664999999999998,0.1566,0.031455434379636625,0.8525900000000001
0.15778333333333333,8.719952562824885,0.16137,0.1619,0.020010007652643953,0.8587700000000001
0.16263333333333332,8.482069131183625,0.16621,0.1659,0.02530545506122068,0.8613299999999999
0.16711666666666666,8.257695247157415,0.17201,0.1721,0.027448234820394688,0.8611
0.17136666666666667,8.038129057137171,0.17649,0.1764,0.02190965023035301,0.8674000000000001
0.17643333333333333,7.822047276393573,0.18034,0.1803,0.030477738113964075,0.8702099999999999
0.18105,7.606320227122307,0.18636999999999995,0.1864,0.03522092364538479,0.8693
0.18606666666666666,7.3983382719755175,0.19029,0.1903,0.02999970618749685,0.8731200000000001
0.19066666666666668,7.194333330305417,0.19516999999999998,0.1953,0.027080622608945483,0.8771599999999999
0.1958666666666667,6.997517178297043,0.19992000000000004,0.2,0.02856216005320143,0.8764799999999999
0.20174999999999998,6.805694867889087,0.20406,0.204,0.013599223198129997,0.8789899999999998
0.20676666666666668,6.617951227601369,0.20907000000000003,0.2092,0.02275158104016728,0.8774
0.21180000000000002,6.434310153444608,0.21434,0.2143,0.020826480618042528,0.8790000000000001
0.21685,6.261078354883194,0.22015,0.2203,0.01979329218375967,0.87992
0.223,6.088919312246641,0.22599,0.2261,0.02035342200405695,0.8774200000000001
