Train Accuracy,Train Loss,Local Accuracy,Global Accuracy,Loss Standard Deviation,Personal Accuracy
0.13441666666666668,10.202981342013677,0.13711,0.1142,0.06037519273584991,0.7838900000000001
0.13654999999999998,10.13883662501971,0.13869,0.1154,0.06779002967018778,0.79317
0.13728333333333334,10.06938706609408,0.13918000000000003,0.1171,0.09077209113747288,0.78718
0.13906666666666667,9.97606030160586,0.14099,0.1186,0.135327292249396,0.79302
0.14088333333333333,9.867051941378913,0.14284999999999998,0.1203,0.0673109142296914,0.8007099999999999
0.14251666666666668,9.75789637951851,0.14465,0.1218,0.1291337216542083,0.8105
0.14491666666666667,9.66141368455887,0.14681000000000002,0.1236,0.08982042359641058,0.80349
0.14603333333333335,9.55290115907987,0.14821,0.1264,0.16803475909232965,0.7971100000000001
0.14798333333333336,9.428279322099687,0.15003,0.1279,0.07538499700927001,0.8160099999999999
0.14926666666666666,9.335379837354024,0.15221,0.1291,0.13904702259857182,0.79983
0.15135,9.219275416549047,0.15439,0.1316,0.05703006027855555,0.80568
0.1529333333333333,9.095549352614086,0.15642000000000003,0.1329,0.05595830563502588,0.8203199999999999
0.15458333333333332,9.004183564074834,0.15800999999999998,0.1346,0.07774155824564034,0.8014599999999998
0.1567333333333333,8.886372868553797,0.16054,0.1363,0.04887382050791084,0.80235
0.15846666666666667,8.787799354775746,0.16219,0.1387,0.18874639081602648,0.7926899999999999
0.1606,8.67772961007754,0.16466000000000003,0.1402,0.07826595464595447,0.8094100000000001
0.16256666666666664,8.564271905136108,0.16685,0.1418,0.04777701889663186,0.8064
0.16421666666666668,8.465536203765868,0.16882999999999998,0.1433,0.08104551343641922,0.8173100000000001
0.16621666666666665,8.363449075921375,0.17054,0.146,0.05401634764659058,0.8149799999999999
0.16838333333333333,8.252436007849376,0.17303,0.1475,0.03854642953045626,0.81758
0.1708333333333333,8.147902265580496,0.17543,0.149,0.0342497696909525,0.8224899999999999
0.17351666666666665,8.02686126162211,0.17779,0.1517,0.07873764042123807,0.8162699999999999
0.17456666666666668,7.945443780549368,0.17923,0.154,0.055837582858153094,0.8147599999999999
0.17775,7.822286356608073,0.18272,0.1562,0.11692679650104304,0.8083800000000001
0.17961666666666667,7.719245971576373,0.18467000000000003,0.1581,0.0519434108030078,0.8209900000000001
0.18098333333333338,7.623169957574209,0.18643999999999997,0.1601,0.03439676820326073,0.81336
0.18325,7.528288799182574,0.18846000000000002,0.1619,0.050201069379151024,0.82178
0.18561666666666668,7.4143613126436865,0.19079000000000002,0.1648,0.04343264011770832,0.8252
0.1880666666666667,7.316836783806483,0.19297999999999998,0.1671,0.041156087072742174,0.8132500000000001
0.19118333333333337,7.216363538702328,0.19513999999999998,0.1696,0.07777596186930355,0.82197
0.19305,7.128025283980369,0.1966,0.1718,0.05191937553495312,0.81146
0.1955,7.03398102332751,0.19923999999999997,0.173,0.059697649281391554,0.81404
0.19799999999999998,6.937569144288699,0.20181,0.1756,0.05217024544915832,0.8209000000000001
0.20125,6.83470924709638,0.20460000000000003,0.1785,0.06272820332562826,0.82221
0.20345,6.736254195451736,0.20781,0.1809,0.07391950414057367,0.81832
0.20561666666666667,6.649601165262858,0.21034000000000003,0.1828,0.1309906556837663,0.81679
0.2084333333333333,6.542877355106672,0.21358,0.1852,0.043844501874282724,0.8236600000000001
0.21138333333333334,6.46558155140082,0.21636999999999998,0.1879,0.05176515184863532,0.8182
0.21445,6.347226458748183,0.21914,0.1903,0.13265914454277272,0.81215
0.2174,6.261330580043793,0.22185,0.1921,0.08106158525407176,0.82006
