Train Accuracy,Train Loss,Local Accuracy,Global Accuracy,Loss Standard Deviation
0.8799666666666666,0.42437842674851417,0.8467799999999999,0.1141,0.22091031851302068
0.9099833333333334,0.29481866265063483,0.87327,0.1143,0.07695695996268462
0.8784,0.5107175342808168,0.85099,0.1163,0.5469593681749103
0.8830166666666667,0.4584704397966465,0.85005,0.1175,0.3438442043207354
0.8903666666666666,0.39233665603771806,0.85416,0.1189,0.2893605429471074
0.8861666666666665,0.4259718894114097,0.85308,0.1204,0.3479016731035142
0.9006666666666667,0.325966227517277,0.86699,0.1222,0.0796666733100068
0.9053,0.30953696786885465,0.86985,0.1224,0.05763216928853516
0.9153333333333333,0.2787652762137353,0.8772300000000001,0.1235,0.037327270165348765
0.8675499999999999,0.8326533628754318,0.83261,0.1255,1.7458246620280387
0.91175,0.29151585481762887,0.8711800000000001,0.1276,0.06373171417621509
0.90115,0.3302997055018942,0.86374,0.1301,0.13751148174875474
0.9145666666666666,0.2792232323591907,0.87917,0.1315,0.02657330711839621
0.8755833333333334,0.4979795181112985,0.84492,0.1331,0.4587172419494535
0.8910166666666667,0.3593608375792702,0.8543700000000001,0.135,0.13888504361305842
0.8963666666666666,0.33479085319240887,0.86078,0.1368,0.07567159425874619
0.8985833333333333,0.33162403294593096,0.86267,0.1386,0.10558343745415034
0.8679666666666667,0.511051491543154,0.83635,0.1402,0.4651504673742209
0.8703166666666667,0.552855852940927,0.8355999999999999,0.1408,0.5780424547196683
0.9125166666666666,0.28843897543027996,0.87551,0.1423,0.05100189549462644
0.8760000000000001,0.5122890407172341,0.85131,0.1426,0.5437097439002944
0.9094999999999999,0.29792827475766337,0.87263,0.1447,0.04684562528480953
0.8905333333333334,0.3707202252032856,0.8521500000000001,0.1467,0.18883113989541536
0.8807166666666667,0.4005538472195466,0.8431699999999999,0.1473,0.18296557875505814
0.8919999999999999,0.3828510786816478,0.8515699999999999,0.1481,0.3004460612661657
0.9133833333333333,0.28457679250811535,0.877,0.1502,0.04571831490214195
0.8526166666666666,0.7556358201483885,0.81636,0.1526,1.4573533362079616
0.8766166666666666,0.4982611019156873,0.85001,0.1533,0.4544245374426984
0.8197333333333334,0.8011062882689137,0.8017300000000002,0.1557,1.0350527789495823
0.9178333333333333,0.27407063268721105,0.87714,0.1566,0.05451014857959769
0.90105,0.3253438919571539,0.86551,0.1585,0.14600105956389445
0.8999499999999999,0.3386947838023305,0.86178,0.1599,0.15062203117169584
0.9093666666666667,0.2976577479148904,0.87147,0.1614,0.09038415098373302
0.8834,0.3948958831797043,0.8511500000000001,0.1636,0.1759613862178791
0.89995,0.34344166541397575,0.86175,0.164,0.1614898412815453
0.83285,0.8210069894467792,0.8093899999999999,0.1656,1.0159731950821356
0.9024500000000001,0.31345625907207525,0.86871,0.1688,0.0788267771141285
0.8935333333333333,0.35270460415134824,0.85793,0.1709,0.1260211091610559
0.91675,0.277430301305155,0.8776999999999999,0.174,0.045678540829482965
0.9096666666666666,0.2995591108910739,0.87483,0.1769,0.0794428560517413
0.8750333333333332,0.4086703182170789,0.84633,0.1785,0.18327284685405545
0.9116333333333333,0.2912790793078641,0.87365,0.1809,0.05604269536494774
0.8960166666666667,0.3517107926386098,0.8652199999999999,0.183,0.20946935731036417
0.89865,0.36016384658416106,0.8699199999999999,0.1851,0.23169484841073623
0.9080333333333334,0.3000349461873372,0.8727499999999999,0.1858,0.06394081409738404
0.8968,0.3502244716336329,0.86539,0.1871,0.12172387646538634
0.9090666666666667,0.29714545531471565,0.87184,0.1888,0.0685335594485417
0.9170499999999999,0.2716420916435619,0.8807799999999999,0.1915,0.0391999311644978
0.8581666666666667,0.6421110017120838,0.8238700000000001,0.1942,0.9469759078989779
0.9227333333333334,0.256835273309052,0.88387,0.1954,0.024990072555381534
0.9216333333333333,0.2630510243522624,0.8831900000000001,0.1976,0.056868481619448435
0.8811666666666667,0.48264454230417814,0.8453299999999999,0.1986,0.6366051067033829
0.9179833333333334,0.26586207542518775,0.88177,0.2012,0.024236579711163785
0.8969999999999999,0.33378463482037185,0.8629,0.2026,0.1592176175514671
0.91275,0.28570172621831297,0.8764899999999999,0.2032,0.06312677091134325
0.91595,0.27641363787750406,0.8757600000000001,0.2058,0.06160568571247608
0.9165000000000001,0.26835381179650625,0.8789800000000001,0.2081,0.037230965987065455
0.8855666666666666,0.5474454945936799,0.8564800000000001,0.21,0.7527898941626989
0.89785,0.34092416778008144,0.86176,0.2119,0.20559308140949123
0.8919666666666667,0.4385549807742238,0.8556699999999999,0.2149,0.5840625490944388
0.9086500000000001,0.2917439096435904,0.87202,0.2171,0.05391676428309166
0.9046166666666666,0.31477460361967485,0.8692200000000001,0.2193,0.09151664213151406
0.9142166666666666,0.2769519491573174,0.8792099999999999,0.2219,0.052527570228575744
0.8843166666666666,0.4632625400198003,0.8515,0.2249,0.5633925114137367
0.9187333333333333,0.2652955972681443,0.88316,0.2288,0.027898114772645324
0.86795,0.5066761824091275,0.83612,0.2316,0.3471094288135731
0.8153166666666667,1.2439808362973233,0.7949,0.2346,1.6731354302566164
0.8876333333333333,0.46148174736325936,0.85997,0.2369,0.4089164054067
0.9195666666666668,0.2633077880012492,0.88397,0.2388,0.029897912420088393
0.9184,0.2681883024173478,0.87927,0.2412,0.0630896894990816
0.8927166666666667,0.4327135999423762,0.8564999999999999,0.2444,0.5755401342888804
0.8339333333333333,0.97812899107188,0.81306,0.2459,1.4927586765903136
0.8839333333333333,0.41704485010504716,0.84833,0.2487,0.35946244272892963
0.8819833333333335,0.5158101350781819,0.84787,0.2499,0.6560649301496878
0.8844833333333333,0.4552317730464041,0.85798,0.253,0.42572144854673394
0.8888999999999999,0.42352409372876093,0.8548300000000001,0.2561,0.404280707516593
0.9072166666666667,0.2971870333182315,0.8741400000000001,0.2603,0.051566404854381645
0.8801166666666668,0.5822203929796815,0.84725,0.2644,0.8703514922438695
0.8956333333333333,0.35137719496637587,0.8645299999999999,0.2678,0.1737423140644534
0.9031666666666667,0.31361325530062123,0.8703299999999999,0.2689,0.10932673717540999
0.9128666666666666,0.28710559938351315,0.8749999999999999,0.2719,0.07808613452000145
0.8919333333333334,0.4244533642458419,0.86271,0.2752,0.37547253440281814
0.8764833333333334,0.7104479213491083,0.8401099999999999,0.2793,1.454471944906212
0.8848999999999999,0.49002672358949984,0.8555999999999999,0.2847,0.47122529664449614
0.8630333333333333,0.5540929996661842,0.83219,0.289,0.6860653998289399
0.8867333333333333,0.45102875112543506,0.85746,0.2906,0.4818966267762455
0.8907333333333333,0.40827127121066054,0.85644,0.2947,0.4857414378907928
0.8590666666666668,0.6360374162241816,0.8351899999999999,0.2962,0.802066828111211
0.9178833333333334,0.26531091558535896,0.8809799999999999,0.3013,0.05286223477243455
0.8984,0.33011961419358854,0.86365,0.3022,0.11588414183821638
0.9014,0.3314020694533984,0.86618,0.306,0.1422570956094441
0.9008833333333334,0.3503742845711609,0.86997,0.3113,0.23506830805471413
0.9219833333333334,0.25403600521137315,0.88575,0.316,0.04153163084310085
0.8765499999999999,0.5823942412674427,0.8508899999999999,0.321,0.7721969520916431
0.8684333333333333,0.6182954893710713,0.8454999999999999,0.3268,0.8505315585610073
0.9098166666666666,0.30551198555057246,0.87376,0.3306,0.19133415347369526
0.8993,0.32671834434618546,0.8665400000000001,0.3335,0.08558153314798711
0.9074666666666666,0.31505035162543266,0.8723099999999999,0.3383,0.173995497995976
0.9091666666666667,0.3587757681099077,0.87387,0.3423,0.34610912001285726
0.9137333333333335,0.2802280049006144,0.87737,0.3477,0.07751929534191984
0.8924666666666666,0.37958779502511025,0.8626199999999999,0.3538,0.31364079316078486
0.9183666666666667,0.26517294487009446,0.88244,0.3584,0.05082148726252669
0.91215,0.29493093584726254,0.87738,0.363,0.11206628386250962
0.9079499999999999,0.3012874838605523,0.87584,0.3652,0.06524755804950451
0.8808333333333334,0.639732877706488,0.84401,0.3701,1.173540558916391
0.9093166666666668,0.30193550434932115,0.8737599999999999,0.3751,0.14877535889153626
0.8931500000000001,0.40412787584637605,0.86174,0.3803,0.34075283114635674
0.9046666666666666,0.31174467043752474,0.87022,0.3816,0.09757897319373109
0.8818833333333334,0.44557071138123666,0.8495400000000001,0.3857,0.4967329469168003
0.9151666666666667,0.27983160923620065,0.87876,0.3902,0.09895844848543457
0.9126166666666666,0.2883519287995994,0.87524,0.392,0.15276625006535044
0.8788666666666667,0.6624376487396659,0.8419,0.3962,1.2506515305970136
0.8875666666666667,0.46601578922619424,0.85322,0.4008,0.6437978111378149
0.8707833333333334,0.744386134465287,0.83456,0.4062,1.503264449855085
0.9113,0.2919471335445841,0.87682,0.4105,0.14250214587993024
0.8746666666666667,0.5250287650552888,0.8407899999999999,0.4149,0.7400226060675268
0.89285,0.36939082055315375,0.85895,0.4163,0.1739023055737318
0.8464166666666667,0.7290751824329297,0.8225000000000001,0.418,0.9504615209999854
0.9196166666666666,0.2653564754617711,0.88161,0.4241,0.08848443261798836
0.9056000000000001,0.31144551028038064,0.8721400000000001,0.4258,0.10033164587179598
0.90715,0.3003524547899763,0.87534,0.4319,0.08100069173397817
0.9121833333333333,0.2810957833757003,0.87901,0.4378,0.08260865653713594
0.9089999999999999,0.29308508012890816,0.87372,0.4397,0.07279853136964569
0.8841833333333334,0.47469149028932056,0.84817,0.4415,0.5084569708767652
0.9191000000000001,0.2805933375524977,0.88275,0.4432,0.1559387889460442
0.9233499999999999,0.25112175211707755,0.88736,0.4492,0.04157977514247214
0.9292666666666667,0.23453857246115803,0.89144,0.4547,0.03418767991972936
0.9085500000000001,0.2959164807165663,0.87443,0.4611,0.08518057147728025
0.91635,0.27799244275664287,0.8804,0.4679,0.09194611479895186
0.90895,0.3192199964672327,0.8743000000000001,0.4736,0.25255126963167945
0.9206,0.2591869960623483,0.88713,0.4787,0.02911176033565779
0.86825,0.4955627480233709,0.8408100000000001,0.4807,0.37109583777505467
0.9179666666666666,0.26490244178300104,0.88231,0.4819,0.06976482941134857
0.9036,0.32494063785523175,0.8708300000000001,0.4875,0.13720354611914448
0.9042000000000001,0.32847743267516294,0.8682300000000001,0.4924,0.17353429465771628
0.8776999999999999,0.591292360212654,0.85143,0.4986,0.7940044079882479
0.8848666666666666,0.41937524995605147,0.84984,0.5005,0.40902385378267964
0.9118166666666666,0.2937455776783327,0.87424,0.5052,0.17343187638363747
0.8894166666666666,0.4590535572958489,0.8528399999999999,0.507,0.7030280493279233
0.9192833333333333,0.2615326681474845,0.8835,0.5078,0.06886257251611247
0.8915666666666667,0.47090928447991615,0.86381,0.5131,0.5251994826896705
0.8848499999999999,0.4821704406748215,0.8521199999999999,0.5179,0.6961097860717291
0.9134500000000001,0.2916895683541894,0.8767,0.524,0.17341402310962065
0.8912000000000001,0.397503626395762,0.8619800000000001,0.5304,0.2972826444506081
0.9224333333333332,0.25318491062720616,0.88652,0.5354,0.04307946340880158
0.8805666666666665,0.5322965173033376,0.8557,0.5367,0.6725715420048968
0.8840333333333333,0.40274170369381707,0.8567999999999999,0.5412,0.2454752059952373
0.9139999999999999,0.27772532957469426,0.88081,0.5462,0.08567090270467297
0.92065,0.2523785930864513,0.8855699999999999,0.5499,0.033088342097822736
0.8441500000000001,0.7081314014554024,0.8160800000000001,0.5549,0.7996873319688446
0.92935,0.22893708174253502,0.89208,0.5601,0.018947597048355518
0.9191833333333334,0.2635612611715992,0.88339,0.5651,0.053661483604102465
0.8397666666666667,0.795472785299023,0.8147099999999999,0.5693,0.9467528268383437
0.9032166666666666,0.319433373097082,0.86815,0.5738,0.1225814065075745
0.9240666666666667,0.2457030736724536,0.8894,0.576,0.017890779269268433
0.8701166666666666,0.5783434833884238,0.83977,0.5807,0.7189952072614585
0.9050166666666667,0.3178726600627104,0.8729899999999999,0.5849,0.169654500080933
0.9229,0.24772609946255886,0.8883800000000001,0.5903,0.07268388969375969
0.8193833333333334,0.9750191891426842,0.79969,0.5939,1.335804188969851
0.9171333333333335,0.2679410195209086,0.8812399999999999,0.5991,0.08161675467254953
0.9218499999999998,0.25414430881688993,0.88732,0.6035,0.07905586554671011
0.92625,0.23633486584201457,0.89063,0.6086,0.04723734807930391
0.92215,0.2542075089988609,0.88462,0.6107,0.10146322160609553
0.9177666666666666,0.2770768542706966,0.88089,0.615,0.15266837402495845
0.9137833333333334,0.27658802219703793,0.87913,0.6198,0.09167867402434697
0.8234833333333333,0.9887553045886258,0.80418,0.6213,1.3568441995365315
0.9106000000000001,0.3442214405631025,0.8761899999999999,0.6262,0.37724697297453497
0.9154833333333333,0.2783379413838188,0.8794799999999999,0.6299,0.1227723667608575
0.9259166666666666,0.23928886181066433,0.89032,0.6312,0.041202564318626726
0.9235333333333333,0.2555968824972709,0.88538,0.6356,0.11189779329860182
0.9153,0.27480703610802687,0.8819699999999999,0.64,0.07569236103348974
0.9098833333333334,0.30234947226420045,0.8736599999999999,0.6454,0.2055082697874253
0.9013166666666668,0.34903205271239085,0.86297,0.6472,0.27343802292080766
0.9186666666666666,0.2697509267926216,0.8838199999999999,0.6526,0.11114583738234544
0.9288666666666666,0.22883532686357697,0.89166,0.6582,0.05646585954260516
0.8792,0.43020759678334,0.84404,0.6628,0.3000840744741645
0.9125833333333333,0.28412267977371813,0.87902,0.6672,0.1347406229267231
0.9196333333333333,0.2632335799562434,0.88511,0.6711,0.05718762052163612
0.8238333333333333,0.8820452380162974,0.8014899999999999,0.6728,1.1172481479330538
0.9175500000000001,0.2761047624237835,0.8821399999999999,0.6771,0.16692663602865654
0.9033500000000001,0.3494921091752748,0.8752500000000001,0.6824,0.30458537113908146
0.9254166666666666,0.2424450458298127,0.8885099999999999,0.6867,0.05142523058289103
0.9195,0.2651786919968824,0.8816600000000001,0.6907,0.13267770901394624
0.9295,0.2307408070847392,0.8912499999999999,0.6943,0.07288552231208045
0.9113166666666667,0.2847285924690465,0.8747800000000001,0.699,0.09108802022825234
0.9272333333333334,0.23983800036335984,0.89014,0.7027,0.04909070129921165
0.9315833333333334,0.22502479488700625,0.8950799999999999,0.7054,0.06259098781791203
0.9050333333333334,0.34072097691769404,0.86996,0.709,0.3318135982098538
0.9184333333333333,0.2733368728737037,0.8816000000000002,0.7106,0.10756178705999722
0.9228,0.24915181326816477,0.88698,0.7148,0.06735324942122123
0.8695499999999999,0.5687895972130198,0.84664,0.7189,0.5388480332547372
0.92985,0.2293858434326947,0.8947799999999999,0.7226,0.039401384930594585
0.9191333333333334,0.26828423003504676,0.88128,0.7241,0.11791459610451431
0.9203500000000001,0.2727168455727398,0.88331,0.726,0.1919944725801897
0.8161833333333335,1.0298477300393083,0.798,0.7301,1.4458677813208836
0.89705,0.3507887565674881,0.8621200000000001,0.7324,0.2631371997625101
0.9364166666666667,0.2108468009064595,0.8981199999999999,0.7357,0.03394018839544026
0.9194,0.25930805918375655,0.88428,0.7362,0.09349311904482092
0.9258500000000001,0.23869036906262242,0.8911100000000001,0.7386,0.06149499427708535
0.9306333333333333,0.2278269156468411,0.89539,0.7421,0.02855444565535568
0.8797,0.47345148514534036,0.8521599999999999,0.7433,0.5356159740122243
0.9196500000000001,0.26091784150277575,0.88517,0.7466,0.09016674385961516
0.9214,0.27444427994589005,0.88503,0.7476,0.219518524724348
0.9147166666666666,0.30564821968699496,0.8808,0.7498,0.26612881168592684
0.8899,0.38947252877950667,0.86152,0.7537,0.27407658303970056
0.8501166666666666,0.7764190279657641,0.82114,0.756,0.9154443181359938
0.9097833333333334,0.31345019771531224,0.87516,0.7587,0.21668719028121783
0.9204833333333333,0.253843247876813,0.8860099999999999,0.7619,0.0667992410517378
0.9194999999999999,0.2826721315758923,0.88227,0.7633,0.18984088591920342
0.9108666666666667,0.2899939600480099,0.87629,0.7672,0.17291617539356466
0.8592333333333334,0.9217122322082519,0.8389200000000001,0.77,1.7260769149860191
0.9350666666666667,0.21146295882786312,0.89825,0.7726,0.02571402383882656
0.9256166666666666,0.2424570662577947,0.8918499999999999,0.7736,0.042480298258261696
0.9346166666666667,0.21324295014540356,0.89833,0.7758,0.034558352963173
0.9181999999999999,0.27530867844671014,0.8834,0.7765,0.16686932451266917
0.88545,0.40322898087451853,0.8547100000000001,0.7792,0.28769958320702677
0.8755166666666666,0.4614821612914403,0.84799,0.7821,0.35872007317218213
0.9221333333333334,0.24850807223692536,0.88578,0.7823,0.11150478618267727
0.8841833333333333,0.5532863788468142,0.85176,0.7847,0.991880460999881
0.9017333333333333,0.33984304858023917,0.86839,0.7853,0.307694959623978
0.8974333333333334,0.4420438787721097,0.86514,0.7872,0.686156191492059
0.9250833333333334,0.24638721629083157,0.8887400000000001,0.7901,0.0733480234889462
