Train Accuracy,Train Loss,Local Accuracy,Global Accuracy,Loss Standard Deviation,Personal Accuracy
0.14871666666666666,9.244088556130727,0.15039,0.1136,0.11029501369223565,0.71275
0.1505,9.174377185885112,0.15307,0.1142,0.07196965074987284,0.7591999999999999
0.1511833333333333,9.179777740637462,0.15349,0.1151,0.15399851147727533,0.75487
0.15241666666666667,9.110141731405257,0.15516000000000002,0.1161,0.10233283698190089,0.7468599999999999
0.15256666666666666,9.092928299363454,0.15484,0.1171,0.1440929436379054,0.75641
0.15351666666666666,9.048127077023189,0.15577999999999997,0.1175,0.38233514320942685,0.7425
0.15371666666666667,8.996181445757548,0.15707,0.1181,0.07694815522876453,0.7585599999999999
0.1543,8.9422350932916,0.158,0.1188,0.11808034594211389,0.7587200000000001
0.15553333333333336,8.880341462453206,0.15852,0.1199,0.08199296045748929,0.7674300000000001
0.15678333333333333,8.842137034781775,0.16019,0.1211,0.1022775591779788,0.75587
0.15838333333333332,8.75244784297943,0.16183000000000003,0.1221,0.10239719960750536,0.7671100000000001
0.1590666666666667,8.733900049686431,0.16277999999999998,0.1228,0.05005101999157645,0.7705799999999999
0.15996666666666667,8.658195411825181,0.16408999999999999,0.1241,0.23277172788834363,0.7587900000000001
0.16091666666666665,8.63167301499049,0.16521,0.1255,0.16678672182823426,0.73993
0.16221666666666668,8.516944651556015,0.16648000000000002,0.127,0.1438191587604915,0.76008
0.1631,8.467245874627432,0.16734000000000002,0.1278,0.09014470300707941,0.76416
0.16385000000000002,8.414532270002365,0.16818,0.1294,0.16239059585852744,0.75633
0.16538333333333333,8.35356298470497,0.16971000000000003,0.1296,0.0821321318399502,0.7715000000000001
0.16770000000000002,8.286058445421855,0.17174,0.1304,0.06550751969590549,0.76937
0.1685833333333333,8.235052313105266,0.17300000000000001,0.1315,0.06382188737948395,0.76965
0.1695333333333333,8.184741642252604,0.17387,0.1326,0.14693181521713272,0.75299
0.17021666666666666,8.122106217177707,0.17493,0.1333,0.29997697223675157,0.7390000000000001
0.17186666666666667,8.051969262711207,0.17589999999999997,0.1343,0.12354132713506955,0.7740400000000001
0.17320000000000002,7.978570971488952,0.17713,0.1356,0.13915140971379125,0.75483
0.1743833333333333,7.946125792256992,0.17794,0.1363,0.13435201196017296,0.75824
0.17513333333333334,7.878116380214692,0.17845,0.1374,0.08112406479986593,0.77623
0.17658333333333331,7.823265873678525,0.18073999999999998,0.1387,0.1701244760554925,0.7476
0.17813333333333337,7.75739422185421,0.18156,0.1397,0.2254241558278391,0.75207
0.17823333333333333,7.708072963380814,0.18326,0.1406,0.2572666637770544,0.7573899999999999
0.17991666666666667,7.632515792655945,0.1848,0.1415,0.13329985194000954,0.77227
0.1817,7.571008280277253,0.18646000000000001,0.1434,0.14514991109456893,0.75236
0.1826,7.5231393205563215,0.18699000000000002,0.1441,0.19648542156584364,0.75805
